pair_id,query_id,query_confidence,selected_threshold,retained,mask_membership_unchanged,before_outcome,after_outcome,change_source,before_t0_assigned_gt_id,after_t0_assigned_gt_id,before_t1_assigned_gt_id,after_t1_assigned_gt_id,t0_best_gt_id,t0_best_iou,t1_best_gt_id,t1_best_iou,duplicate_competition_before,duplicate_competition_after
scene0029_00-scene0029_01,query_0000,0.0008897125371731818,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,31,,31,0.6381578947368421,31,0.5503875968992248,true,false
scene0029_00-scene0029_01,query_0001,0.0036785798147320747,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,,,8,0.8565573770491803,8,0.8020833333333334,true,false
scene0029_00-scene0029_01,query_0002,0.5884882211685181,0.3,true,true,one_sided,one_sided,retained_outcome_unchanged,,,,,28,0.3,,,true,true
scene0029_00-scene0029_01,query_0003,0.007548284716904163,0.3,false,false,one_sided,,filtered_low_confidence,,,,,,,9,0.14007308160779536,true,false
scene0029_00-scene0029_01,query_0004,0.0004626124573405832,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,,,12,0.7038801906058543,12,0.7,true,false
scene0029_00-scene0029_01,query_0005,0.03153533488512039,0.3,false,false,one_sided,,filtered_low_confidence,,,,,,,9,0.12058465286236297,true,false
scene0029_00-scene0029_01,query_0006,0.013658445328474045,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,8,,8,0.7868852459016393,8,0.8051948051948052,true,false
scene0029_00-scene0029_01,query_0007,0.002373878378421068,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,,,2,0.8978400467016929,2,0.8560993425858291,true,false
scene0029_00-scene0029_01,query_0008,0.008891496807336807,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,10,,,,10,0.7850467289719626,4,0.01581395348837209,true,false
scene0029_00-scene0029_01,query_0009,0.18156829476356506,0.3,false,false,one_sided,,filtered_low_confidence,,,,,3,0.6488222698072805,,,true,false
scene0029_00-scene0029_01,query_0010,0.31524574756622314,0.3,true,true,endpoint_unmatched,endpoint_unmatched,retained_outcome_unchanged,32,32,,,32,0.7431906614785992,31,0.0078125,true,true
scene0029_00-scene0029_01,query_0011,0.004899563267827034,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,,,13,0.5238805970149254,13,0.640117994100295,true,false
scene0029_00-scene0029_01,query_0012,0.0045054592192173,0.3,false,false,one_sided,,filtered_low_confidence,,,,,,,3,0.011787819253438114,true,false
scene0029_00-scene0029_01,query_0013,0.37528887391090393,0.3,true,true,endpoint_unmatched,true_positive,newly_true_positive_after_reassignment,35,35,,35,35,0.7428571428571429,35,0.8173913043478261,true,true
scene0029_00-scene0029_01,query_0014,0.0014438165817409754,0.3,false,false,one_sided,,filtered_low_confidence,,,,,,,31,0.1875,true,false
scene0029_00-scene0029_01,query_0015,0.002324420493096113,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,13,,28,0.3,13,0.7087087087087087,true,false
scene0029_00-scene0029_01,query_0016,0.08573015034198761,0.3,false,false,one_sided,,filtered_low_confidence,,,,,28,0.375,,,true,false
scene0029_00-scene0029_01,query_0017,0.006630955263972282,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,,,10,0.7391304347826086,10,0.14893617021276595,true,false
scene0029_00-scene0029_01,query_0018,0.0063862004317343235,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,,,10,0.7850467289719626,4,0.01581395348837209,true,false
scene0029_00-scene0029_01,query_0019,0.7834548354148865,0.3,true,true,one_sided,one_sided,retained_outcome_unchanged,,,,,,,9,0.1218026796589525,true,true
scene0029_00-scene0029_01,query_0020,0.0064827860333025455,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,35,,35,0.6065573770491803,35,0.8703703703703703,true,false
scene0029_00-scene0029_01,query_0021,0.013155577704310417,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,,,10,0.5,9,0.11061946902654868,true,false
scene0029_00-scene0029_01,query_0022,0.003472141223028302,0.3,false,false,one_sided,,filtered_low_confidence,,,,,32,0.5992217898832685,,,true,false
scene0029_00-scene0029_01,query_0023,0.039020854979753494,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,6,,,,6,0.9350180505415162,6,0.676595744680851,true,false
scene0029_00-scene0029_01,query_0024,0.0036117418203502893,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,,,8,0.8495934959349594,8,0.7979274611398963,true,false
scene0029_00-scene0029_01,query_0025,0.011590994894504547,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,,,9,0.1569023569023569,12,0.20217729393468117,true,false
scene0029_00-scene0029_01,query_0026,0.0020163701847195625,0.3,false,false,endpoint_unmatched,,filtered_low_confidence,,,,,12,0.4586206896551724,12,0.5861702127659575,true,false
scene0029_00-scene0029_01,query_0027,0.9611365795135498,0.3,true,true,true_positive,true_positive,retained_true_positive,2,2,2,2,2,0.9050410316529894,2,0.8644314868804664,true,false
scene0029_00-scene0029_01,query_0028,0.9824848771095276,0.3,true,true,true_positive,true_positive,retained_true_positive,3,3,3,3,3,0.9354838709677419,3,0.9882121807465619,true,false
scene0029_00-scene0029_01,query_0029,0.007111093960702419,0.3,false,false,one_sided,,filtered_low_confidence,,,,,3,0.4668094218415418,,,true,false
